OBJECTID,GLOBAL_ID,DISTANCE,DOGLGPT_ID,DOGLGPTID2,DOGLGPTID3,DOGLGPTID4,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1,AEF2BD20-4861-439E-B061-C172FFF371C5,162.13,,,,,1,0,0,0,0,0
2,19B74283-D352-49A0-8F80-13ADC99B8929,163.85,,,,,1,0,0,0,0,0
3,BC6E3693-C68A-41B5-B710-346857C4473B,212.12,,,,,1,0,0,0,0,0
4,BFF3FAA8-E452-4A29-A1F5-099EDD8A815B,1793.04,,,,,0,0,0,0,0,1
5,261FC00D-33A8-4C40-A14A-0A29F0AA5F84,896,,,,,0,0,0,0,0,1
6,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,3113.73,,,,,0,0,0,0,0,1
7,1E91C81C-753F-4001-961F-EA7E08C6E45F,1692.02,,,,,0,0,0,0,0,1
8,94692E9F-B534-43FD-9373-869D66B514CC,152.55,,,,,1,0,0,0,0,0
9,C3873E1F-E95E-4F84-82E6-1E415D7F4CE0,197.81,,,,,1,0,0,0,0,0
10,5E045141-8D3C-4170-B7DB-9F2D84CFEBFD,86.43,,,,,1,0,0,0,0,0
11,B90CB3BD-2199-4FF7-8CD2-77AEC7D827C0,156.57,,,,,1,0,0,0,0,0
12,D1F83A2F-5986-4F85-B4F0-A6A1715BBA53,160.12,,,,,1,0,0,0,0,0
13,992484BB-1D6A-4649-B8F7-BCC99AA4ADE4,1253.33,,,,,0,1,0,1,0,1
14,776F9F32-3604-4035-9F4F-45E073017F0A,908.08,,,,,0,1,0,0,0,0
15,91E382A0-7326-4998-A461-4EA77A0448BE,536.37,B9248B5F-C187-4CD5-9152-0AC5E3CCB1A7,F5A14330-DB29-42CB-8C5A-578AF31A7CC3,,,1,0,0,0,0,0
16,881A9724-AB8A-4528-A28E-48A51CD2D698,276.11,,,,,1,0,0,0,0,0
17,D225478E-A3BF-41EC-AB22-A75B9CE8EB30,273.07,,,,,1,0,0,0,0,0
18,A13A91DB-DF3A-4741-BB8E-EE6DBD8B1188,174.72,A2194FEC-D70F-48D2-AACA-073CEFE81B1C,,,,1,0,0,0,0,0
19,3DB92F2B-0E0F-4342-8F99-39D24230378F,81.67,,,,,1,0,0,0,0,0
20,3D30B8A6-1C50-44C0-80F6-F6ADAC2D5273,74.41,,,,,1,0,0,0,0,0
21,7CE5AE41-793C-4548-801F-2B29FC2990B4,131.69,,,,,1,0,0,0,0,0
22,8D5C357F-56CE-43EE-825D-0600CE6C350B,52.74,,,,,1,0,0,0,0,0
23,C0D26AF6-2791-44B9-BB0D-983F4D72FFE0,309.44,,,,,1,0,0,0,0,0
24,660EFCA8-7F12-45D6-B59B-4F30775ACC70,108.55,,,,,1,0,0,0,0,0
25,67902572-E78F-44D1-A323-3C8F70161635,344.8,,,,,1,0,0,0,0,0
26,B142BFE3-6640-4D22-AC08-879A23816966,387.44,,,,,1,0,0,0,0,0
27,E405A701-4724-4E1B-ABD2-45B25A4F4005,160.61,F5A14330-DB29-42CB-8C5A-578AF31A7CC3,,,,1,0,0,0,0,0
28,CA2DEE27-F513-4E68-B72D-4FD77BA75317,285.6,,,,,1,0,0,0,0,0
29,DBA80F42-918F-4F26-9C5C-5B6747024A29,177.66,FBA0B528-3711-49D9-A473-8395C5E9D180,,,,1,0,0,0,0,0
30,C2FB09D6-BE96-4EB2-899E-068CBDCA162D,29.12,,,,,0,0,0,1,0,0
31,1BD7C577-F26C-4B94-88B8-4C10722A143E,65.61,,,,,0,0,0,1,0,0
32,19961033-3D8C-4BD3-B8FC-996634338BB6,33.82,,,,,0,0,0,1,0,0
33,DEADCD4B-66C9-40F8-BAF1-34688ECD745C,94.34,,,,,0,0,0,1,0,0
34,1CAB12FD-770E-4609-9537-EC4BE1C47395,165.08,,,,,0,0,0,1,0,0
35,1E712EAC-8AA8-495E-9070-9B8C94FC61E9,142.24,,,,,0,0,0,1,0,0
36,71935FAE-4C9F-4DC1-9F29-6B1CD13451A3,146.01,,,,,0,0,0,1,0,0
37,DED2EE99-7810-4FA9-8986-D5847124F8FE,196.57,,,,,0,1,0,1,0,0
38,7BA259FE-A96F-487E-8681-56911895D17F,101.96,,,,,0,1,0,1,0,0
39,B5B1CB71-7E72-4C86-BA1E-4C9EC1D59451,133.28,CC30FA59-2696-4B5E-979A-8E156264FC6C,,,,0,0,0,1,0,0
40,D2EAB982-119A-4C1D-929C-5A353FDCCB23,212.4,80AC54A7-868E-41A6-AF0D-00A81DE8812F,,,,0,0,0,1,0,0
41,9292794E-2061-4E15-9D0E-F27ECF208FBE,198.82,,,,,0,0,0,1,0,0
42,07F92E31-B16E-49F1-AB42-13B7FDD37A4D,113.91,,,,,0,0,0,1,0,0
43,AF4708B9-098F-4B4B-B8BA-073D47920404,135.2,,,,,0,0,0,1,0,0
44,2704C761-030D-4B42-97F4-00BE9AA1A7DB,195.41,,,,,0,0,0,1,0,0
45,E904F398-3E14-42D7-BF7A-915E37AFAEFE,91.92,,,,,0,0,0,1,0,0
