OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
1,LAS,KLAS,AIR CARGO,1,2,7.89425530456356e-06,0.0122281918618259
2,LAS,KLAS,HOLDING PAD,1,2,4.81448296341114e-06,0.0131466835937484
3,LAS,KLAS,UNK,1,2,7.25263723078129e-07,0.00361691237638479
4,ORD,KORD,UNK,1,7,7.09825144440401e-07,0.00356896613499341
5,MTH,KMTH,UNK,1,2,8.5684206609267e-08,0.00135166448091177
6,MTH,KMTH,UNK,1,2,3.73694433619676e-07,0.00454843673167858
7,MTH,KMTH,JET APRON,1,2,1.52639870520943e-06,0.00657852917375778
8,PBI,KPBI,CARGO RAMP,1,2,2.85955252365966e-06,0.00770560631270987
9,MTH,KMTH,UNK,1,2,6.44868123345077e-08,0.00129259379613878
10,MTH,KMTH,UNK,1,2,4.16618684141723e-07,0.00324377003113843
11,CRW,KCRW,COMMERCIAL APRON,1,2,3.95456845581066e-06,0.0128346164538874
12,TPA,KTPA,UNK,1,2,7.32335536697548e-06,0.0151912308465841
13,PBI,KPBI,UNK,1,2,1.01791874840274e-06,0.00725769709826477
14,PBI,KPBI,UNK,1,2,2.39972223425866e-07,0.00251348391239149
15,LAS,KLAS,PARADISE HOLDING PAD,1,2,1.14005661089323e-06,0.00551240269639187
16,LAS,KLAS,UNK,1,2,3.19386404044053e-05,0.0372901830078479
17,LAS,KLAS,RON,1,2,2.72665693046292e-06,0.00975854216653321
18,VRB,KVRB,UNK,1,2,2.69868155555741e-06,0.01092716963921
19,VRB,KVRB,UNK,1,2,6.88100598274927e-07,0.00488586220142123
20,VRB,KVRB,UNK,1,2,3.09232746076304e-07,0.00254958399174142
21,VRB,KVRB,UNK,1,2,2.78657932056316e-07,0.0024046622293463
22,VRB,KVRB,UNK,1,2,1.09849452201161e-07,0.00145895240909649
23,VRB,KVRB,UNK,1,2,1.75365130417049e-07,0.00176996546383958
24,VRB,KVRB,UNK,1,2,3.60400917998049e-08,0.000930757384949079
25,VRB,KVRB,UNK,1,2,5.82373104407452e-07,0.00353343657962039
26,TUS,KTUS,UNK,1,2,2.57636445731568e-06,0.024603771465141
27,MTH,KMTH,UNK,1,2,4.29500930589251e-09,0.000354748229731785
28,MTH,KMTH,UNK,1,2,4.0171244108933e-09,0.00030153609930498
29,MTH,KMTH,UNK,1,2,4.52141696609051e-09,0.000364613249557364
30,TUL,KTUL,UNK,1,2,1.04528726296849e-06,0.00435815562442072
31,MTH,KMTH,UNK,1,2,4.74966632864338e-09,0.000371049595293528
32,MTH,KMTH,UNK,1,2,4.88322348399586e-09,0.000374768719491441
33,MTH,KMTH,UNK,1,2,4.52319135748822e-09,0.000343973041729699
34,MTH,KMTH,UNK,1,2,3.40830984529167e-09,0.00027302689864852
35,MTH,KMTH,UNK,1,2,3.64875535680182e-09,0.000324821534497818
36,MTH,KMTH,UNK,1,2,3.64446996864963e-09,0.000317196856050247
37,MTH,KMTH,UNK,1,2,3.54394802393188e-09,0.00031798439743467
38,MTH,KMTH,UNK,1,2,4.4264311734217e-09,0.000352042795469749
39,MTH,KMTH,UNK,1,2,4.52745685950232e-09,0.00035047247263732
40,MTH,KMTH,UNK,1,2,4.48899985672907e-09,0.000345374143101918
41,MTH,KMTH,UNK,1,2,4.60166402682302e-09,0.000366351905932727
42,MTH,KMTH,UNK,1,2,3.93456152662959e-09,0.000308030979380116
43,MTH,KMTH,UNK,1,2,3.86362062568951e-09,0.000316377778563955
44,MTH,KMTH,UNK,1,2,3.86946264873539e-09,0.000319818967185921
45,MTH,KMTH,UNK,1,2,3.9864198715184e-09,0.000322851635216674
46,MTH,KMTH,UNK,1,2,3.96118276981688e-09,0.000327897224929181
47,MTH,KMTH,UNK,1,2,4.076573169743e-09,0.00034329747084851
48,MTH,KMTH,UNK,1,2,4.3223808027259e-09,0.000343409467874333
49,MTH,KMTH,UNK,1,2,4.21709130571553e-09,0.000343404000230836
50,MTH,KMTH,UNK,1,2,4.12084315715849e-09,0.000331365689957808
51,MTH,KMTH,UNK,1,2,4.10629501972418e-09,0.000342705739082229
