OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,MOVE_TYPE,Shape__Area,Shape__Length
1,HLN,KHLN,UNK,NonMovement,3.64941871194846e-07,0.00666841606334356
2,HLN,KHLN,UNK,NonMovement,2.35361092347335e-07,0.00319717801875299
3,DCA,KDCA,UNK,Non-Taxi Island,6.34667849799803e-07,0.00453868274630508
4,DCA,KDCA,UNK,Non-Taxi Island,5.18710378063798e-08,0.000923551648364305
5,DCA,KDCA,UNK,Non-Taxi Island,3.27732694912174e-07,0.00271544084870264
6,HLN,KHLN,UNK,NonMovement,6.63938283098839e-06,0.0233674529910872
7,HLN,KHLN,UNK,NonMovement,2.66862673346108e-06,0.0397620139200683
8,HLN,KHLN,UNK,NonMovement,7.82721037408118e-06,0.0153794437464493
9,HLN,KHLN,UNK,NonMovement,5.42774715106553e-06,0.0365680297884036
10,INT,KINT,UNK,NonMovement,2.90336659242857e-06,0.0136506235827036
11,INT,KINT,UNK,NonMovement,9.83701252635361e-07,0.00507410072152988
12,INT,KINT,UNK,NonMovement,7.48794906867828e-07,0.00888700816585639
13,INT,KINT,O,NonMovement,1.97694750539044e-06,0.0220568955179929
14,INT,KINT,O,NonMovement,1.43420646504799e-08,0.000501196926346317
15,BWI,KBWI,APRON,NonMovement,2.62413823293173e-06,0.0147521898115223
16,BWI,KBWI,UNK,NonMovement,3.98486918129493e-07,0.00457909597033026
17,INT,KINT,UNK,Non-Taxi Island,1.38320501719136e-07,0.0016547616375599
18,INT,KINT,UNK,NonMovement,2.63063128558283e-07,0.00365302618788703
19,HLN,KHLN,UNK,NonMovement,2.08681110457944e-06,0.0141789494366608
20,INT,KINT,UNK,NonMovement,6.48263374597127e-07,0.00627769143635974
21,MRY,KMRY,UNK,Under Construction,9.54914321482647e-06,0.0155889220433155
22,SAN,KSAN,UNK,Under Construction,1.44801401802397e-06,0.00489985437766124
23,SAN,KSAN,UNK,Under Construction,1.23917629935022e-06,0.004991426916287
24,ROA,KROA,UNK,NonMovement,3.09205915982602e-07,0.0025958997823366
25,ROA,KROA,UNK,Non-Taxi Island,3.67929182659883e-07,0.00272167237720337
26,INT,KINT,UNK,NonMovement,7.4291506280133e-07,0.00619934444524401
27,ROA,KROA,UNK,Non-Taxi Island,3.3228690370958e-07,0.00208531593899676
28,INT,KINT,UNK,NonMovement,6.40904147497512e-06,0.0309279172900577
29,HLN,KHLN,UNK,NonMovement,2.75679492811078e-07,0.00372594015715544
30,DCA,KDCA,UNK,Non-Taxi Island,4.56941585578411e-07,0.00350894657784584
31,DCA,KDCA,UNK,Non-Taxi Island,3.57878433627796e-07,0.00283082398071266
32,DCA,KDCA,UNK,Non-Taxi Island,1.66574606219497e-07,0.00175791475438774
33,EWR,KEWR,UNK,Non-Taxi Island,1.1467070308753e-06,0.00478258941617113
34,EWR,KEWR,UNK,Non-Taxi Island,1.27382545461741e-06,0.00471032823904867
35,EWR,KEWR,UNK,Non-Taxi Island,5.83340937689285e-07,0.002766271382962
36,EWR,KEWR,UNK,Non-Taxi Island,4.18277766385056e-07,0.00230863051778744
