OBJECTID,FAA_ID,ICAO_ID,STP_TYPE,SURFACE,RWY_END,Shape__Area,Shape__Length
1,SAN,KSAN,02,1,27,7.59993099563872e-07,0.00367791490821722
2,SAN,KSAN,01,1,27,5.57351995666977e-08,0.00130531472361897
3,ORD,KORD,03,1,22L,8.56390897752135e-07,0.00452797990007928
4,ORD,KORD,02,1,22L,4.84033535030903e-07,0.00299068102068144
5,ORD,KORD,02,1,04R,1.11185909190681e-06,0.00483397189317848
6,ORD,KORD,03,1,04R,5.59819000045536e-08,0.00149503159649529
7,TVC,KTVC,01,1,28,4.23186747866566e-07,0.00264813613933606
8,TVC,KTVC,01,1,10,4.17277760789148e-07,0.0026277397819656
9,TVC,KTVC,01,1,18,3.18447291647317e-07,0.00225746860355984
10,ALW,KALW,01,1,20,2.24130462811445e-06,0.00889791124673183
11,TVC,KTVC,01,1,36,3.18859520120895e-07,0.00225929253889944
12,ALW,KALW,01,1,02,1.51635640577297e-06,0.00741640114073331
13,YKM,KYKM,01,1,27,3.52079041476827e-07,0.00249434293708372
14,YKM,KYKM,01,1,09,3.59152636519866e-07,0.00249294104347117
15,BOS,KBOS,01,1,22L,6.98245003150078e-07,0.0034500997838338
16,BOS,KBOS,01,1,14,8.18290118331788e-07,0.00607139947825839
17,BOS,KBOS,01,1,27,1.77753980654116e-06,0.00744523696864751
18,BOS,KBOS,01,1,15R,1.71679175764439e-07,0.00179129885512507
19,BOS,KBOS,02,1,15R,9.26972916204249e-07,0.00448356615423909
20,BOS,KBOS,01,1,09,3.52478764398256e-07,0.00238291260025158
21,BOS,KBOS,01,1,04R,4.47075080955983e-07,0.00273728062656599
22,BOS,KBOS,02,1,04L,3.41798340741661e-07,0.00235918628631945
23,BOS,KBOS,01,1,33L,4.88636715090252e-07,0.00289546128781169
24,BOS,KBOS,01,1,33R,1.8159084902436e-07,0.00175568262453351
25,BOS,KBOS,01,1,22R,1.72362138073368e-06,0.00621084339028062
26,BOS,KBOS,01,1,15L,6.24017957306933e-08,0.00106100176136043
27,TPA,KTPA,01,1,19R,7.5850471148442e-07,0.00357766539059454
28,TPA,KTPA,01,1,01L,7.39714096198441e-07,0.00353946270648529
29,TPA,KTPA,01,1,28,3.38417748935171e-07,0.00232952549341619
30,TPA,KTPA,01,1,10,1.91283106687479e-07,0.00175199881432437
31,TPA,KTPA,01,1,19L,7.4571335062501e-07,0.00355375007482886
32,TPA,KTPA,01,1,01R,7.41147232474759e-07,0.00354351357085221
33,CLT,KCLT,02,1,36R,5.76291768084047e-07,0.0030612423914368
34,PHL,KPHL,01,1,09R,8.58884504850721e-07,0.00403810171232335
35,PHL,KPHL,01,1,27R,9.21088258110103e-07,0.00420819910065532
36,EWR,KEWR,01,1,04L,9.80414370133076e-07,0.00416305792583855
37,ROA,KROA,01,1,06,2.78323796010227e-07,0.00215284759584684
38,ROA,KROA,01,1,16,3.73901229977491e-07,0.00247225222958639
39,INT,KINT,01,1,15,1.74399019670091e-07,0.00186164439156064
40,MKG,KMKG,01,1,06,1.54852386913262e-07,0.00162479993077753
41,BOS,KBOS,01,1,22R,2.21677737499704e-07,0.00260275856473586
42,ROA,KROA,01,1,34,5.79411789658479e-07,0.00311645693821434
43,ROA,KROA,02,1,34,4.80335529573495e-07,0.00288081016301649
44,PHL,KPHL,01,1,35,3.88721218769206e-07,0.00252529311095636
45,ORD,KORD,03,1,04L,4.44181750935968e-07,0.00272855404875008
46,ORD,KORD,03,1,22R,8.88141585164703e-07,0.00399019717411346
47,TUS,KTUS,01,1,30,1.79871904038009e-07,0.00170746895303536
48,MTH,KMTH,01,1,07,3.3730759696482e-07,0.00297953918741755
49,MTH,KMTH,01,1,25,3.41121221936191e-07,0.00298660590770052
50,BWI,KBWI,01,1,10,8.46799821374589e-07,0.00401102679343582
51,BWI,KBWI,01,1,28,8.38325377117144e-07,0.00402780400301741
52,BWI,KBWI,01,1,33L,8.61261469253805e-07,0.00388809222229597
53,BWI,KBWI,01,1,15R,4.25716962126899e-07,0.00265142295985092
54,IAD,KIAD,01,1,12,8.58691237226594e-07,0.00401202156749782
55,IAD,KIAD,01,1,19C,8.49771822686307e-07,0.00374228099657873
56,IAD,KIAD,01,1,19R,8.44849637360312e-07,0.00373176877763765
57,IAD,KIAD,01,1,01L,8.53920482768444e-07,0.00375308366107278
58,IAD,KIAD,01,1,01R,5.52324763702927e-07,0.00314180834535018
59,ORD,KORD,03,1,09C,1.13062401396746e-06,0.00447930814474367
60,ORD,KORD,03,1,09R,8.88258227860206e-07,0.00414980879142701
61,TEB,KTEB,01,1,24,7.5212028605165e-08,0.00150928676656873
62,TEB,KTEB,02,1,19,6.95308244758053e-07,0.00337013782680351
63,TEB,KTEB,01,1,19,8.61323314893525e-08,0.00165830116668362
64,TEB,KTEB,01,1,01,1.34431275000679e-07,0.00155217831017209
65,EWR,KEWR,02,1,29,8.96008259587688e-07,0.00435064217970019
66,DCA,KDCA,01,1,15,5.20703906659037e-08,0.00123294100807015
67,DCA,KDCA,02,1,33,5.47983063370339e-07,0.00314176303698242
68,DCA,KDCA,02,1,04,5.57112798560411e-07,0.00311515455789287
69,DCA,KDCA,02,1,15,2.33706487051677e-07,0.00197801734123111
70,DCA,KDCA,03,1,19,3.86733290724806e-07,0.002506796241656
71,DCA,KDCA,03,1,01,3.85693056159653e-07,0.0025070151407821
72,DCA,KDCA,01,1,33,5.02543571201386e-08,0.00119213847455754
73,DCA,KDCA,01,1,04,5.07313870912185e-08,0.00121503517620533
74,MIA,KMIA,01,1,08R,8.95405037226737e-07,0.0039954338416657
75,MHT,KMHT,01,1,24,4.65459834231297e-07,0.00281312067681844
76,MHT,KMHT,01,1,35,3.83604628950707e-07,0.00253865423284528
77,MHT,KMHT,01,1,17,3.73695002053864e-07,0.00249835939845028
78,MIA,KMIA,01,1,26L,8.80497509569977e-07,0.00395062321945152
79,MIA,KMIA,01,1,26R,7.3430965130683e-07,0.00362952925223242
80,MIA,KMIA,01,1,08L,7.43351847631857e-07,0.00365414800504356
81,MIA,KMIA,01,1,27,8.43980615172768e-07,0.00382198350854065
82,MIA,KMIA,01,1,09,8.20084096631035e-07,0.00376392728613929
83,MIA,KMIA,01,1,30,8.37831521494081e-07,0.00380789122428101
84,JFK,KJFK,01,1,13R,1.43218676385004e-06,0.00519404424608442
85,JFK,KJFK,02,1,22L,9.06254399524187e-07,0.00396251454673053
86,JFK,KJFK,01,1,22L,7.4505123848212e-08,0.00174131546669117
87,JFK,KJFK,01,1,04R,2.27783402806381e-07,0.00216671997087562
88,TEB,KTEB,02,1,06,5.26924623045488e-07,0.002983759702529
89,TEB,KTEB,01,1,06,6.56366410112241e-08,0.00151388919700303
90,TEB,KTEB,02,1,24,7.14671159585123e-07,0.00360491123355276
91,PHL,KPHL,01,1,17,3.9485894376412e-07,0.00255085746592579
92,PHL,KPHL,01,1,09L,8.52619677971234e-07,0.00403132947315775
93,PHL,KPHL,01,1,26,3.43673036695691e-07,0.00239349721251844
94,HPN,KHPN,01,1,34,2.86783006231417e-07,0.00217498608059487
95,HPN,KHPN,01,1,16,2.95731524602161e-07,0.00222212318019928
96,PBI,KPBI,01,1,10L,3.71793021258782e-07,0.00244948506970371
97,PBI,KPBI,01,1,28R,3.77129481421434e-07,0.00244325060094733
98,MHT,KMHT,02,1,06,6.92962430548505e-07,0.00351982919234479
99,MHT,KMHT,01,1,06,5.34982746103196e-07,0.00301318056370581
100,PBI,KPBI,01,1,32,3.51917833540938e-07,0.00236128205263548
101,PBI,KPBI,01,1,28L,1.25326550914906e-07,0.00161676602043875
102,PBI,KPBI,01,1,10R,1.2181999409222e-07,0.00157672010154144
103,LAX,KLAX,03,1,07L,3.62386799679371e-07,0.00241852296385796
104,LAX,KLAX,03,1,25R,1.01469731816906e-06,0.00417543066694402
105,LAX,KLAX,03,1,07R,1.01465502666542e-06,0.00417533653547048
106,LAX,KLAX,03,1,25L,1.01461114354606e-06,0.0041752128160172
107,LAX,KLAX,03,1,06L,6.30641125098919e-07,0.00325313415253649
108,LAX,KLAX,03,1,24L,1.00073066278128e-06,0.00414094399207446
109,LAX,KLAX,03,1,06R,1.00077386377961e-06,0.00414106322081098
110,SFO,KSFO,01,1,10L,6.15678345639026e-07,0.00331393874509988
111,SFO,KSFO,01,1,10R,6.13570591667667e-07,0.00330859749195794
112,SFO,KSFO,01,1,19L,6.11439645581413e-08,0.00152777781562068
113,SFO,KSFO,02,1,19L,8.0447125583305e-07,0.00364580059757883
114,SFO,KSFO,01,1,19R,5.76719685341232e-08,0.00149350285809886
115,SFO,KSFO,02,1,19R,9.60043962550117e-07,0.00409218272207987
116,SFO,KSFO,01,1,28L,1.42876706377137e-06,0.00618071431305247
117,SFO,KSFO,01,1,28R,1.7061547623598e-06,0.00702653084885058
118,SFO,KSFO,01,1,01L,6.62184902466834e-08,0.00153272220525367
119,SFO,KSFO,02,1,01L,8.93317519512493e-07,0.00392249927675506
120,SFO,KSFO,01,1,01R,6.70206645736471e-08,0.0015432679468768
121,SFO,KSFO,02,1,01R,8.933720891946e-07,0.00391604361034419
122,LAS,KLAS,03,1,26R,6.33510353509337e-07,0.00322822602955171
123,LAS,KLAS,03,1,01L,7.69191501603927e-07,0.00363276547426753
124,ORD,KORD,01,1,09L,8.07710193839739e-07,0.00404090520077917
125,ORD,KORD,01,1,27R,7.91530283095199e-07,0.00398043402839887
126,LAS,KLAS,03,1,08R,9.11353372240464e-07,0.00404194957767399
127,TUS,KTUS,01,1,12,1.4470915630227e-06,0.00701087801161765
128,TUS,KTUS,01,1,04,3.39126017934177e-07,0.00234283453497292
129,TUS,KTUS,01,1,22,7.99770987214288e-08,0.00126205900629246
130,PSC,KPSC,01,1,03L,1.5746763892821e-07,0.00167746059353575
131,PSC,KPSC,01,1,30,4.2652573029045e-07,0.00270089062251492
132,PSC,KPSC,01,1,12,4.14876467402792e-07,0.00266538937353386
133,MAF,KMAF,01,1,34L,2.52958216151455e-07,0.00201904281751074
134,MAF,KMAF,01,1,28,2.61453578787041e-07,0.00209430339413323
135,MAF,KMAF,01,1,22,1.24996176964487e-07,0.00160140181274989
136,MKG,KMKG,01,1,14,3.12941210722784e-07,0.00232274247849827
137,MKG,KMKG,01,1,32,1.4541099062626e-06,0.00716141901231792
138,MKG,KMKG,01,1,24,4.06700792154879e-07,0.00261170858797912
139,MLB,KMLB,01,1,27L,7.56187546357978e-07,0.00370033697185474
140,MLB,KMLB,01,1,09R,6.82430254528299e-07,0.00356998898961875
141,TNP,KTNP,01,1,26,1.77789161170949e-07,0.00186418121546895
142,TNP,KTNP,01,1,08,1.80744336830685e-07,0.0018827842032546
143,TNP,KTNP,01,1,35,1.11116833068081e-07,0.00161274628804734
144,LGB,KLGB,01,1,30,4.35755055150366e-07,0.00267699977041567
145,LGB,KLGB,01,1,26R,3.70633870261372e-07,0.00244908460289206
146,LGB,KLGB,01,1,08L,3.60329295290285e-07,0.00240841347388964
147,LGB,KLGB,01,1,12,4.59097691418719e-07,0.00275061590829698
148,LGB,KLGB,01,1,08R,1.2879922905995e-07,0.00150417742294069
149,LGB,KLGB,01,1,26L,1.30753960547736e-07,0.00152855942667349
