OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
1,HOM,PAHO,B_E,1,2,1.58880887099477e-07,0.00221520789941794
2,HOM,PAHO,C,1,2,1.8041373550659e-07,0.00211742170554836
3,HOM,PAHO,A,1,2,1.97100588175333e-07,0.00222889075004917
4,HOM,PAHO,E,1,2,1.41281634569168e-06,0.0130347160802691
5,HOM,PAHO,A,1,2,1.94467247638386e-07,0.0020493921413749
6,HOM,PAHO,D,1,2,1.25965016195551e-07,0.0015855922071677
7,HOM,PAHO,B,1,2,1.45418379044956e-07,0.00227103347186229
8,HOM,PAHO,B,1,2,1.84352757059969e-07,0.00207042388968876
9,HOM,PAHO,B_D,1,2,2.08752879690688e-07,0.00213708084961748
10,HOM,PAHO,D_E,1,2,2.88785673638325e-07,0.00275271217793655
11,HOM,PAHO,C_D,1,2,2.98760824080091e-07,0.00255868447486697
12,HOM,PAHO,B,1,2,3.27967307492622e-07,0.00339957158655417
13,HOM,PAHO,D,1,2,3.54587427864317e-07,0.00342523415851368
14,HOM,PAHO,D,1,2,4.62334355688654e-07,0.00476442157138396
15,HOM,PAHO,D,1,2,8.38538007180006e-07,0.00988891867311865
16,TPA,KTPA,G,1,2,2.26217392901296e-07,0.0022777744034274
17,TPA,KTPA,G_G2,1,2,2.62813561503761e-07,0.00208288847474004
18,TPA,KTPA,G,1,2,2.9429497772071e-07,0.00278630025845622
19,TPA,KTPA,G,1,2,3.04617287838482e-07,0.00259974168395831
20,TPA,KTPA,G,1,2,3.63057243796261e-07,0.00272013201260352
21,TPA,KTPA,G,1,2,3.78197455574991e-07,0.00329948034734708
22,TPA,KTPA,G_G3,1,2,5.05224639346658e-07,0.00324768915198253
23,TPA,KTPA,G,1,2,5.16101863468066e-07,0.00473277356204917
24,TPA,KTPA,W_V7,1,2,3.20386525816396e-07,0.00244979155463285
25,TPA,KTPA,V_V7,1,2,3.30414859934375e-07,0.00246954552137992
26,TPA,KTPA,V,1,2,5.84868757869117e-07,0.00526522560705616
27,TPA,KTPA,W,1,2,6.19265392742818e-07,0.00536524194675596
28,TPA,KTPA,A,1,2,3.05647745335591e-07,0.00265625756891683
29,TPA,KTPA,A_V,1,2,5.77018513487487e-07,0.0031799001192925
30,TPA,KTPA,B,1,2,1.27588160086546e-07,0.00167844312749614
31,TPA,KTPA,B,1,2,3.07622085426312e-07,0.00258131282192862
32,TPA,KTPA,W,1,2,4.66671508547734e-07,0.00411420544488319
33,TPA,KTPA,V,1,2,4.71344037578092e-07,0.00405769749629426
34,TPA,KTPA,A,1,2,2.09485252360142e-07,0.00226356385897279
35,TPA,KTPA,A_B_W7,1,2,1.04895502017754e-06,0.00493283431702111
36,TPA,KTPA,V,1,2,9.16378627103739e-08,0.00146655043111289
37,TPA,KTPA,B_V,1,2,4.25694447397235e-07,0.00258633077949905
38,TPA,KTPA,V6,1,2,2.07475153363168e-07,0.00227723050395001
39,TPA,KTPA,V5,1,2,1.10204050384876e-07,0.00154069887484641
40,TPA,KTPA,V_V6,1,2,3.24641636531564e-07,0.00245709329648435
41,TPA,KTPA,V4,1,2,8.87200036570404e-08,0.00135030436969487
42,TPA,KTPA,V3,1,2,1.21862207165535e-07,0.00167998833177249
43,TPA,KTPA,V2,1,2,6.57877854968233e-08,0.00114224167337701
44,TPA,KTPA,J,1,2,8.10269305728719e-08,0.00132937763962452
45,TPA,KTPA,W_W6_V5_V6,1,2,1.41666086950903e-06,0.0062849815075909
46,TPA,KTPA,J2,1,2,1.42843370283183e-07,0.0018702759043829
47,TPA,KTPA,J_J2,1,2,2.84319520644019e-07,0.00225328514560477
48,TPA,KTPA,J,1,2,9.61385479392174e-07,0.0094234650828786
49,TPA,KTPA,J,1,2,1.98831168697969e-07,0.00197550341324031
50,TPA,KTPA,W_W4_V2,1,2,8.33741046406961e-07,0.0044213000552057
51,TPA,KTPA,W,1,2,1.98010955174133e-07,0.00201995271947865
52,TPA,KTPA,W,1,2,3.82014832212008e-07,0.00346785192513388
53,TPA,KTPA,W_W5_V4,1,2,9.13143811863415e-07,0.00461417679065742
54,TPA,KTPA,W,1,2,2.01487128970862e-07,0.00191602979610851
55,LGB,KLGB,L1,1,2,5.64380084645821e-08,0.000995361245592032
56,TPA,KTPA,E2,1,2,1.6908309696112e-07,0.00216753356277088
57,TPA,KTPA,E,1,2,1.18202582964633e-07,0.00150511638821051
58,TPA,KTPA,E_E2,1,2,1.49932930071373e-07,0.0018111467035916
59,TPA,KTPA,E_E1,1,2,3.07884647554602e-07,0.00234869381452871
60,TPA,KTPA,E,1,2,3.7839163269382e-07,0.0035844675251319
61,TPA,KTPA,E,1,2,6.6101847551181e-07,0.0057604897824766
62,TPA,KTPA,E_UNK,1,2,3.32245562749411e-07,0.00242965786858645
63,TPA,KTPA,E_UNK,1,2,3.92333212875795e-07,0.00275466268890648
64,TPA,KTPA,E,1,2,4.65100356450421e-07,0.0043816580383865
65,TPA,KTPA,E_UNK,1,2,3.99814308889301e-07,0.00263007952002894
66,TPA,KTPA,UNK,1,2,7.47001869601423e-08,0.001167050796879
67,TPA,KTPA,UNK,1,2,5.2135192163405e-08,0.000937425083454602
68,TPA,KTPA,E,1,2,9.41181497182697e-08,0.00128580547981228
69,TPA,KTPA,E_UNK,1,2,3.01698037219467e-07,0.00234032431886656
70,TPA,KTPA,UNK,1,2,1.1297278932048e-07,0.00135748626526449
71,TPA,KTPA,UNK,1,2,4.91612290424992e-08,0.00104324456234272
72,TPA,KTPA,K,1,2,1.12098381259765e-07,0.00137104635676012
73,TPA,KTPA,N,1,2,4.64733602711931e-08,0.000863146723706285
74,TPA,KTPA,N,1,2,5.31621229832996e-08,0.00093107756856786
75,TPA,KTPA,N_UNK,1,2,1.04222271726968e-07,0.00133720171602916
76,TPA,KTPA,N_T_UNK,1,2,2.42710939464541e-07,0.00245512779645597
77,TPA,KTPA,Y,1,2,1.38031243259937e-07,0.00162395866542025
78,TPA,KTPA,Y_J2,1,2,2.24932509272115e-07,0.0021051777017597
79,TPA,KTPA,W,1,2,8.16480316759294e-08,0.00130657429945854
80,TPA,KTPA,J_W,1,2,2.47037477821288e-07,0.00199852301186611
81,TPA,KTPA,F,1,2,1.33182538775145e-07,0.00173724541046555
82,TPA,KTPA,R,1,2,1.60455783770885e-07,0.0021772797577744
83,TPA,KTPA,R,1,2,1.62832975547644e-07,0.0020392381550789
84,TPA,KTPA,R_F2,1,2,2.06901273700627e-07,0.00187953660070136
85,TPA,KTPA,R,1,2,2.26124029722996e-07,0.00281069583025593
86,TPA,KTPA,C,1,2,5.09472799420374e-07,0.00465866007312662
87,TPA,KTPA,C,1,2,2.04020125238458e-07,0.00208052714745602
88,TPA,KTPA,C,1,2,2.64271157203282e-07,0.00275368789632601
89,TPA,KTPA,C_G6,1,2,5.75931972088099e-07,0.00356820588677465
90,TPA,KTPA,G6,1,2,2.2470110350864e-07,0.00267620910959934
91,TPA,KTPA,C_C5_G4_G5,1,2,5.62268158090309e-07,0.00402750905183122
92,TPA,KTPA,G3,1,2,1.67606562039013e-07,0.00214728471811697
93,TPA,KTPA,C_G3,1,2,4.5536288605097e-07,0.00313698189261538
94,TPA,KTPA,G4,1,2,1.6592764485665e-07,0.0022239028493767
95,TPA,KTPA,G5,1,2,1.5890657773833e-07,0.00201801910018837
96,TPA,KTPA,B1,1,2,1.20016920845956e-07,0.00162168784382717
97,TPA,KTPA,B2,1,2,1.22706978800124e-07,0.00163381332208835
98,TPA,KTPA,A_B2,1,2,3.26307826981065e-07,0.00246886264676465
99,TPA,KTPA,B_B2,1,2,4.93751389815666e-07,0.00278966337244185
100,SAN,KSAN,C_J_C1_C2,1,2,7.22861204102698e-07,0.0033810906310451
101,SAN,KSAN,C2,1,2,2.17114403143481e-07,0.00241288802141735
102,SAN,KSAN,C1,1,2,3.4181458858501e-07,0.00286924443912298
103,TPA,KTPA,R_R3,1,2,2.29082339951725e-07,0.00216068265658094
104,TPA,KTPA,F_F1,1,2,2.46107674684026e-07,0.00211194524892394
105,TPA,KTPA,J_V,1,2,7.35247178985585e-07,0.0034784485147309
106,TPA,KTPA,Y,1,2,1.74650579755353e-07,0.00195967121452194
107,TPA,KTPA,V_V3,1,2,2.1045858574105e-07,0.00197827718056919
108,TPA,KTPA,V,1,2,2.69478505288134e-07,0.00266336741779393
109,TPA,KTPA,R_R2,1,2,2.17552949724475e-07,0.00203000851907979
110,TPA,KTPA,V_V4,1,2,3.40034971683251e-07,0.00250591428612495
111,TPA,KTPA,U,1,2,5.26118776818935e-07,0.00429275258013977
112,TPA,KTPA,W,1,2,5.06108975119671e-08,0.00108720025093557
113,TPA,KTPA,W_V3,1,2,2.333012129839e-07,0.00190724686320898
