X,Y,OBJECTID,GLOBAL_ID,CARTOANGLE,ENRINFO_ID,DISTANCE1,DISTANCE2,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-148.464994738,67.7514408010001,1,C09A8475-BD99-4152-9D58-7369AAF4DB74,0.38,E1377BD4-8369-4EC4-992B-9E3607A5ACE4,15,147.43,0,1,0,0,0,0
-165.699633961,59.267209285,2,0E34C1CB-323E-48CE-BCC8-B90636D8A78B,46.77,933F6339-35F4-4832-B86A-3F755E637B01,190,149.89,0,1,0,0,0,0
-151.257220541,59.4087773420001,3,3DA5D350-D348-48E8-A86D-68FA8C1BF161,18.62,9BB1D100-0E90-487F-AB44-F2372BFE8E6E,103,113.66,0,1,0,0,0,0
-106.149633665,38.9185812740001,4,219A2E0B-60AF-4CDD-9B20-823168F2A129,55.95,8391526E-6301-4A48-957C-6975410A6F57,50,85.2,0,0,0,1,0,0
-88.074541822,46.6664041130001,5,F990D8B3-B040-4D44-98EC-C818DCC1FEB2,91.23,21404D89-2AF8-44BE-87CE-571EAF303660,171,156,0,0,0,1,0,0
-121.163663542,45.7419977230001,6,C3910B39-986C-4E32-8EB6-BFBA2A3B38B3,89.86,26DAE24A-EAE3-4C4F-9F9D-B89B716416EB,60,93.56,0,1,0,1,0,0
-90.39209827,36.5825026430001,7,3A9B8FE1-02A9-4E47-9E5F-8F31FD62CA2D,348.12,8392058D-A6E3-425D-87AC-ACD0B58385B3,96,129.54,0,0,0,1,0,0
-115.336636222,34.1906052310001,8,D34331AE-A618-4068-80E7-CE52C61D86FA,50.44,EA4DF3A8-BD51-43CC-BB3B-9929EC334FE3,53,55.1,0,0,0,1,0,0
-113.174971325,35.3311710680001,9,BFC89C48-8F02-4B4E-BC4D-BAD769D14CA7,61.75,F4544AFC-1C1C-43C5-9022-22C219647516,72,104.83,0,0,0,1,0,0
-114.517256926,39.0959161530001,10,5F3B0F7F-3CFA-4178-8E84-0750A64B71A0,309.61,5FB192A4-330B-408D-990D-006D31BEE61B,134,19.82,0,0,0,1,0,0
-110.950698618,34.8350937490001,11,5E4D4294-A396-4F62-B810-C9840E205296,83.57,76B0FEB3-618A-4AD3-9659-0CFB65BE9E32,76,89.01,0,0,0,1,0,0
-101.464864406,46.45682256,12,11739877-E809-4511-9249-38A1E9C9FC44,113.63,8EF7CE7F-52D0-4D31-A489-5FA7D632356A,60,143.11,0,0,0,1,0,0
-100.13377135,43.86788026,13,76854D63-7A48-468D-8B8B-752C798FD826,91.98,C8CB14E5-67DC-4076-95F0-1372A4D3A060,125,146.35,0,0,0,1,0,0
-118.279462347,34.2239160280001,14,586A16EE-4995-409A-B8C3-95895BD7E540,23.54,40BF287E-AD36-4D74-AD57-F23C224539ED,19,26.65,0,0,1,0,1,0
-118.705259132,34.4896925840001,15,38EF21A1-8846-4B4F-93AB-7B4C205EE151,337.89,6FDB0A4B-38EC-40C7-A3F2-505BE3DD262E,36,20.35,0,0,1,0,1,0
-118.916656661,34.964568134,16,1F2A6982-36BE-4FFF-8F19-411DE61367F3,344.17,A841D959-7AD4-4D86-815D-9C9CD4AD4F1E,10,32.39,0,0,1,0,0,0
-110.667362135,43.876841228,17,7FB5F422-D5F2-4469-A409-928F65D5E7ED,100.25,03F9050C-85E4-418C-9D3D-28CA927A40F5,68,14.7,0,0,1,0,0,0
-149.756987158,63.1143933070001,18,551BD565-603A-4550-9DD3-38C9D07442CB,10.92,C5244052-DA13-4F59-84EB-742689F268C7,50,112.47,1,0,0,0,0,0
-81.112706649,30.6399779770001,19,5E4108FE-1B8C-42F1-B1D2-8554914CBF44,0,E23E34D7-5886-4113-813D-BAF5F296643B,80,90.29,0,0,1,0,0,0
-154.643692188,69.7116638700001,20,432F5F7E-F731-4E06-9794-96A856034E7D,154.46,FE436AFA-B54C-49B7-8811-F59679EED6F2,105,181.55,1,0,0,0,0,0
-148.289539232,66.50805889,21,852A0390-AAEF-4C68-9601-A7573E20C73D,356.29,DFA41354-67B1-4EAC-90D0-438C3CE81B1C,103,60.09,1,0,0,0,0,0
-164.826471691,59.637191208,22,5C0A52B0-0F11-4B3F-A13A-B355F0551E2C,46.6,5F097E48-950E-49F3-ACB4-B7AC9783B5E5,223,116.89,1,0,0,0,0,0
-114.728161066,43.285681513,23,78C61FEE-A7DA-45CF-AB26-E212F145A3BD,103.55,E495B1E6-AFBA-46CC-9EFB-0ED87CA029B4,66,94.61,0,0,1,0,0,0
-159.307486397,59.8188017030001,24,7A091393-60E5-41E2-8D7E-C86A72EE62B3,311.01,0955A963-6F5C-49B8-9B22-B9D02E4006D5,102,95.54,1,0,0,0,0,0
-95.752107919,30.146788664,25,BE3E96D7-2EBE-4433-A504-385E97237CB3,298.34,EEE76E32-73C6-4567-BA01-130FE4083EF2,24,18.05,0,0,1,0,0,0
-159.475508904,58.2615223010001,26,E4E7A07A-676E-42D1-BFC1-AD27064DD522,30.15,84C8C21F-FE12-46B8-B54D-724DDEFC7AEF,207,54.85,1,0,0,0,0,0
-94.961488381,35.7603295010001,27,D64BC6BE-A825-4DB7-8EB4-879EB83E210A,122.73,A18EE043-DD44-4C9C-8EFF-5AE9CD971782,48,40.45,0,0,1,0,0,0
-121.613940708,36.5310881230001,28,F1064E05-DE28-4FCF-BFEF-75DE4C282400,3.72,D73FCD79-B3BC-49E2-9906-E97BD0529F01,21,7.97,0,0,1,0,0,0
-94.177548813,32.1268037630001,29,3D62034D-1201-4ACD-A27C-62DB11CE49DF,25.42,E1DB65F1-2E6D-42EB-B466-8B80296C2A0A,64,42.87,0,0,1,0,0,0
-111.819166399,41.9498028730001,30,0E06E417-8934-42CF-AD6E-CAA14DDFD007,117.76,73C3C202-AE28-42BB-BCEC-B5C90451A343,32,71.46,0,0,1,0,0,0
-77.446269022,38.1789963890001,31,E1375BF2-8553-404A-A03A-2F6F46213F07,24.84,8C425697-7614-42E1-8420-1B9B18076DE1,43,10.41,0,0,1,0,0,0
