OBJECTID,GLOBAL_ID,IDENT,ICAO_ID,NAME,UPPER_DESC,UPPER_VAL,UPPER_UOM,UPPER_CODE,LOWER_DESC,LOWER_VAL,LOWER_UOM,LOWER_CODE,TYPE_CODE,LOCAL_TYPE,CLASS,MIL_CODE,COMM_NAME,LEVEL_,SECTOR,ONSHORE,EXCLUSION,WKHR_CODE,WKHR_RMK,DST,GMTOFFSET,CONT_AGENT,CITY,STATE,COUNTRY,ADHP_ID,US_HIGH,AK_HIGH,AK_LOW,US_LOW,US_AREA,PACIFIC,Shape__Area,Shape__Length
1,A89A815A-B9A8-496E-95F9-7B30216287A5,ATL,KATL,HARTSFIELD-JACKSON ATLANTA INTL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,Other,CIVIL,,L,,1,0,H24,CONTINUOUS,,,,ATLANTA,GA,,90091CE7-1372-4182-BA14-366919A3F134,0,0,0,1,1,0,0.942425284951241,3.46193310099607
2,E8C133EC-E984-4A8B-A32B-D338B7876FF7,BWI,KBWI,BALTIMORE WASHINGTON INTERNATIONAL THURGOOD MARSHAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,BALTIMORE,MD,,751671DD-2768-454F-AA80-2567DB9933FE,0,0,0,1,1,0,1.01089469247449,3.60614815212147
3,23DE40AF-73E1-46AF-8B35-DB337CC140D2,BOS,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,BOSTON,MA,,8A175D7D-C058-4D14-A55F-D354936393D2,0,0,0,1,1,0,1.05981088387216,3.71056758527687
4,7907208D-9995-43CE-BC9A-FC57F3439F0B,IAD,KIAD,WASHINGTON DULLES INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,CHANTILLY,VA,,68B8FC26-3117-4301-878B-799F22A0363D,0,0,0,1,1,0,1.00768903015501,3.59934386412136
5,987E6AEF-D740-4470-BF9F-3E2E31B99D8E,CLT,KCLT,CHARLOTTE/DOUGLAS INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,CHARLOTTE,NC,,91CC8955-7A21-4843-9C70-CC0903339770,0,0,0,1,1,0,0.960042265750644,3.4988088256286
6,880365E9-31F7-4B05-A45D-B265BC3115C9,ORD,KORD,CHICAGO O'HARE INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,CHICAGO,IL,,8719978B-8B62-4688-A0AE-46450A687C68,0,0,0,1,1,0,1.05353412680984,3.69710862363023
7,13C7198A-B554-40B3-828B-0621C499FD03,CLE,KCLE,CLEVELAND-HOPKINS INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,CLEVELAND,OH,,2A962A82-442A-4A82-9535-214B1B978E2E,0,0,0,1,1,0,1.01926496189003,3.66305208702938
8,BE01FC5F-4CC8-4A88-A97D-09EDC38CA128,CVG,KCVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,COVINGTON,KY,,E24E4D4D-6EA0-48A5-9653-1A4682B98703,0,0,0,1,1,0,1.00911059414329,3.60236064633802
9,E2579839-72E0-42A9-ADE1-3019E71F5A5B,DFW,KDFW,DALLAS/FORT WORTH INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,DALLAS,TX,,B371E693-B91F-40ED-ABB1-628EFE9D3111,0,0,0,1,1,0,0.934621833012443,3.44565539932845
10,7068AC9C-B006-4B32-9499-80A3B892AB18,DEN,KDEN,DENVER INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,DENVER,CO,,0E6F2D50-AF47-445C-BE2A-B163C1F6EB04,0,0,0,1,1,0,1.02077185227654,3.62714394646547
11,1858E038-1861-4B15-9BF6-E39C79BA74EF,DTW,KDTW,DETROIT METROPOLITAN WAYNE COUNTY AIRPORT MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,DETROIT,MI,,90EDCD5B-D722-42A8-9139-35812BECEF2E,0,0,0,1,1,0,0.857153972548986,3.91623249787841
12,D65FCC8E-512E-4BDD-B3E9-3D2475B42D3A,HNL,KHNL,HONOLULU INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,HONOLULU,HI,,5B4DC1E6-846B-4FA9-AC56-95D841B38CE6,0,0,0,0,0,1,0.844236992528522,3.25973255959484
13,9D950B4A-B947-4FC2-92A4-A853F50E904C,IAH,KIAH,GEORGE BUSH INTERCONTINENTAL/HOUSTON MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,HOUSTON,TX,,64E25960-75A0-495F-95BF-C92621C6B448,0,0,0,1,1,0,0.906564230509048,3.38740729004194
14,B8BDCDA3-3446-42F5-80CB-8137E9E189C0,HOU,KHOU,WILLIAM P HOBBY MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,HOUSTON,TX,,1836AD48-E874-4A76-AF8B-2B469D143973,0,0,0,1,1,0,0.903557223836287,3.381191897859
15,2180F89C-2BA1-4A61-93B5-7EFA8150A11D,MCI,KMCI,KANSAS CITY INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,Other,CIVIL,,L,,1,0,H24,CONTINUOUS,,,,KANSAS CITY,MO,,6E268EEB-B635-4E6B-B2D4-38211AD6F5CA,0,0,0,1,1,0,1.01263130264942,3.60983381586324
16,0F7795B2-A5C3-4A29-808A-18C5DDD5CEA5,LAS,KLAS,MCCARRAN INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,LAS VEGAS,NV,,FFAE2022-BD69-475C-801F-3C80B7FCB36B,0,0,0,1,1,0,0.970323353603362,3.52040437362039
17,04488D2E-08D9-441A-8E1F-55FF1D13FEEC,LAX,KLAX,LOS ANGELES INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,LOS ANGELES,CA,,2C5866F1-5E27-4032-9AF8-988CE5DB82BA,0,0,0,1,1,0,0.94573325681813,3.46884586202254
18,E514D4D0-8969-4FA3-9B4D-5C9C20407128,MEM,KMEM,MEMPHIS INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,Other,CIVIL,,L,,1,0,H24,CONTINUOUS,,,,MEMPHIS,TN,,DA96A371-EB42-4312-8EAF-FA237DE1E404,0,0,0,1,1,0,0.958062689669305,3.49465482064116
19,7216E02F-9769-4063-9F4F-3C44B2A9EBE3,MIA,KMIA,MIAMI INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,Other,CIVIL,,L,,1,0,H24,CONTINUOUS,,,,MIAMI,FL,,28A25B5E-8EB8-4F2F-9D2B-3605D2654733,0,0,0,1,1,0,0.872843037359985,3.31802069313625
20,8EE2CF1E-1FC3-4647-BADD-E566D6CF6A90,MSP,KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,MINNEAPOLIS,MN,,243F5FF5-D108-419F-BA14-7FFCFFCBB2B4,0,0,0,1,1,0,1.104524901074,3.80692985453867
21,3D09A40D-91BE-4CDB-99A9-DE8893A26D12,EWR,KEWR,NEWARK LIBERTY INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,NEWARK,NJ,,6AB3CFCC-F6EE-4B71-A201-2DCA9BB7F2F1,0,0,0,1,1,0,1.03319440785913,3.65361518631974
22,2EAAB629-9D45-4175-9FB6-A8FB80C61BF8,MSY,KMSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,NEW ORLEANS,LA,,E00678C2-CCFF-4487-A28D-B0B2C345498B,0,0,0,1,1,0,0.906643270574023,3.38757073602573
23,A5FA854D-915E-45CC-88DB-E35F9BCC2598,JFK,KJFK,JOHN F KENNEDY INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,NEW YORK,NY,,DD5FB154-0787-4B0F-8554-C033FAFA0155,0,0,0,1,1,0,1.03239011810751,3.65189917115747
24,9AD8CE65-D419-41E1-9FA0-A0054655EF4D,LGA,KLGA,LA GUARDIA AIRPORT MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,NEW YORK,NY,,E866CAA3-781C-4162-8C31-D16CC9E3E92E,0,0,0,1,1,0,1.03449110774318,3.65638241927254
25,0C7CE346-D77B-4E27-B0DF-B4CF7D14A5A2,MCO,KMCO,ORLANDO INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,ORLANDO,FL,,ED1CB743-2B70-404D-98E9-51F1E4CB4442,0,0,0,1,1,0,0.893188400757026,3.35980151291237
26,70B7040C-0102-45AC-9913-F224AC0A0A9F,PHL,KPHL,PHILADELPHIA INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,PHILADELPHIA,PA,,43D58CEC-68DC-44C1-A241-0A33C0F29415,0,0,0,1,1,0,1.02092684650938,3.62747378256631
27,7E0346CE-E78C-42A3-AAC4-3D3A0904FE87,PHX,KPHX,PHOENIX SKY HARBOR INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,PHOENIX,AZ,,639E89B2-F2AE-4589-BC8E-2694490CE138,0,0,0,1,1,0,0.940260715284694,3.45741570779365
28,3704C148-85E7-42CA-AE7D-4AE58268679C,PIT,KPIT,PITTSBURGH INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,PITTSBURGH,PA,,5299275F-0A25-470C-BA0F-9531DCD9727B,0,0,0,1,1,0,1.0301407446982,3.64710152994995
29,E5B66F74-3C03-4128-9298-A8FDAC0AB85B,STL,KSTL,LAMBERT-ST LOUIS INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,ST. LOUIS,MO,,2EC1BA36-6A52-4199-853F-7E506EFD729E,0,0,0,1,1,0,1.00492332739873,3.59347739061406
30,C30C1BB9-276A-4BDB-B4C1-8191079786DF,SLC,KSLC,SALT LAKE CITY INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,SALT LAKE CITY,UT,,CB41ECB2-ADC7-49A5-9C05-81854AFD415C,0,0,0,1,1,0,1.03466194954808,3.65674706284755
31,BEED04A8-2761-4D7E-BD71-AA88EFB503FC,SAN,KSAN,SAN DIEGO INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,SAN DIEGO,CA,,50CC510F-CE80-405D-BE8D-05AFC123107F,0,0,0,1,1,0,0.733177263452035,3.30916579217678
32,17C22390-EC5A-4960-B6DA-BCF4EE93DEE9,NKX,KNKX,MIRAMAR MCAS MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,MIRAMAR,CA,,73B96E6D-3EF0-42FA-8CBE-42AA4CED360A,0,0,0,1,1,0,0.846210226058929,3.39362620480559
33,9DF31888-1F75-440F-AD97-7BAE89D12EA2,SFO,KSFO,SAN FRANCISCO INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,SAN FRANCISCO,CA,,AF8BC34D-2D11-4CDB-9E87-33A0D430C055,0,0,0,1,1,0,0.989715097094177,3.56128495793909
34,509A95FD-CAD1-4F63-8B98-51EAFCC192C9,SEA,KSEA,SEATTLE-TACOMA INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,SEATTLE,WA,,5338FBAA-B183-4BC0-B3F1-27ABF6D1AD7C,0,0,0,1,1,0,1.15663251765727,3.92023341664046
35,692B8740-15E1-42FB-8D02-AB3AB555AFF6,TPA,KTPA,TAMPA INTERNATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,TAMPA,FL,,94348EF7-5624-41A5-A685-7680EB5F04EB,0,0,0,1,1,0,0.889480406586244,3.35216798125724
36,DADBC626-33BF-4EC0-8DD7-ECEE1894BC16,DCA,KDCA,RONALD REAGAN WASHINGTON NATIONAL MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,WASHINGTON,DC,,96204F8C-A545-4DF9-943D-5472C5BC1697,0,0,0,1,1,0,1.00635626416511,3.59651640640312
37,CF463D39-33DA-4284-BBF3-B44EDF198A5B,ADW,KADW,JOINT BASE ANDREWS MODE C,TNI,10000,FT,MSL,,0,FT,SFC,MODE-C,MODE C,,CIV,,L,,1,0,H24,,,,,CAMP SPRINGS,MD,,7161F7BC-8892-47DB-BC4F-ECA6F511701F,0,0,0,1,1,0,1.00578484848575,3.59530441202499
