X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,CRSOUT,CRSOUT_TYP,CRSIN,DIRTURN,SPEEDLIMIT,SPLIM_UOM,REFPT_ID,REFPT_CL,NAVSYS_ID,STRUCTURES,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-74.031830556,42.2347833330001,1,756E34FB-0F5D-4347-A328-9DA5E44F9885,1,ACOVE INT*NY*K6,42-14-05.220N,074-01-54.590W,31,RAD,211,R,,,CAA493CB-6E22-4AF8-BC1A-40B738576C04,1,15711C46-96F0-4C11-98C1-628D76A4329A,ENROUTE HIGH|ENROUTE LOW,0,0,1,1,0,0
-121.747094444,37.8121722220001,2,7C258F58-B61B-43F7-AC70-A47449F18FE4,1,ALTAM INT*CA*K2,37-48-43.820N,121-44-49.540W,177,RAD,177,L,,,304512E9-5334-43B6-9208-FBE5B9471FD2,1,EEE33C1D-BBB0-4108-A2C2-7B49F4077CB0,AREA|ENROUTE LOW,0,0,1,0,1,0
-83.0708611109999,30.150119444,3,822AADA2-E25F-44A3-A97F-7032AF801FB5,1,ALVIN INT*FL*K7,30-09-00.430N,083-04-15.100W,122,RAD,122,L,,,B7D61AF7-486F-412F-9D7C-DE3BBD0B0CAA,1,7459D369-5BC7-4824-BFB1-982ED8B7BE5D,ENROUTE LOW,0,0,1,0,0,0
-149.960141389,61.1678661110001,4,6A7D1746-4DB7-4837-B394-CD99059D5528,1,ANCHORAGE VOR/DME*AK,,,248,RAD,68,L,,,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,0,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,ENROUTE LOW,1,0,0,0,0,0
-107.891519444,36.748802778,5,45042677-91DD-4224-BBBF-16051BAD9746,1,ARDYN INT*NM*K2,36-44-55.690N,107-53-29.470W,76,RAD,256,R,,,A3582839-F923-4F56-AEE4-CCA740D094AC,1,6E8F1ED6-C82D-44D3-B475-20C388A624F0,ENROUTE LOW,0,0,1,0,0,0
-123.475833333,47.879891667,6,E2FD521E-BD9C-4BD5-BADF-64213C36E521,1,ARRIE INT*WA*K1,47-52-47.610N,123-28-33.000W,281,RAD,101,R,,,393D20C8-A761-423B-902E-954ACFB55374,1,60DE34F9-A9A0-4195-8AF9-11593F2CD158,ENROUTE HIGH,0,1,0,1,0,0
-87.252211111,38.3154083330001,7,15179BD0-F332-4CB5-8825-0CE60ECFD15A,1,AUGUS INT*IN*K5,38-18-55.470N,087-15-07.960W,43,RAD,223,R,,,332BED6B-85E5-4CA4-9911-05FBA31E14C2,1,A5CFE7BB-DD8C-4747-86AF-2658283CEFF3,ENROUTE LOW,0,0,1,0,0,0
-78.605636111,33.061505556,8,941B89F6-D22F-44F8-BBC4-5A2856B2DE65,1,ANNVA WP*OA*K,33-03-41.420N,078-36-20.290W,200,OTHER,20,R,,,386564CE-2A29-4A8B-85E9-772C129672E6,1,,ENROUTE HIGH,0,0,0,1,0,0
-90.356591667,38.264361111,9,1E1244F7-15E7-4622-B77C-FDBD4FA3D339,1,ARNOL INT*IL*K5,38-15-51.700N,090-21-23.730W,170,RAD,350,L,,,9D3DBF9F-2618-4659-BB62-F5A65BD33900,1,872F50E9-7C7C-447D-9FE3-241F9ECDF038,ENROUTE LOW,0,0,1,0,1,0
-110.9808,31.6940472220001,10,F7E015BE-B9D7-4E9A-8328-5FE144E516C2,1,ARVEY INT*AZ*K2,31-41-38.570N,110-58-50.880W,176,RAD,176,L,,,A91F601F-5A6D-482C-82FE-9140251BD46A,1,193D74A1-4AEC-484B-8414-4411EC80C105,ENROUTE LOW,0,0,1,0,0,0
-71.784513889,41.405369444,11,B5AE6510-1610-44A1-AABE-01B89ACF2584,1,ASHWY INT*RI*K6,41-24-19.330N,071-47-04.250W,234,RAD,54,L,,,99E4F9F4-AEE8-422B-977A-48DBA74B70C0,1,AAAF6762-0C31-40C8-96FC-187C670D0648,ENROUTE LOW,0,0,1,0,0,0
-97.8388166669999,28.073461111,12,3EF5C54F-33EE-432C-9B99-068E7E0F928D,1,ATHIS INT*TX*K4,28-04-24.460N,097-50-19.740W,287,RAD,107,R,,,7B81B451-863E-4142-97C9-5172FFE33296,1,E7765FEF-1932-4F98-9697-327AFAC1ED12,ENROUTE LOW|IAP,0,0,1,0,0,0
-92.3931666669999,36.7986500000001,13,8B9B3D97-2CEE-49CA-BA0A-1822171441CB,1,AVARR INT*MO*K3,36-47-55.140N,092-23-35.400W,119,RAD,299,R,,,8D7878ED-2324-4D39-AFB7-7E41A3ACAA22,1,DF844C58-7E03-4556-9483-45137861C301,ENROUTE LOW,0,0,1,0,0,0
-107.416225,32.230586111,14,7C2861E4-1801-4A89-B541-E00F471489CF,1,AXARY INT*NM*K2,32-13-50.110N,107-24-58.410W,94,RAD,274,R,,,ACEE4E72-5479-4052-883D-E3A809F5307A,1,8742DEB9-B639-4C74-83FC-EFB80BC009B2,ENROUTE LOW,0,0,1,0,0,0
-85.7598055559999,31.8345277780001,15,A570116D-6BF6-4E87-9DE4-510D1CB99CAB,1,BANBI INT*AL*K7,31-50-04.300N,085-45-35.300W,76,RAD,256,L,,,A6A498A3-D059-451B-80EA-E9F06D7D834E,1,85DB042A-1223-4EEB-9214-DE038FD68B35,ENROUTE LOW,0,0,1,0,0,0
-92.609980556,34.5846666670001,16,51815495-2E69-4BF7-B464-4E04203EC172,1,BEGAN INT*AR*K4,34-35-04.800N,092-36-35.930W,250,RAD,70,R,,,DA49E95F-A2F6-4E4B-94E0-C24D213E657E,1,5309FE93-A69F-4275-BF9E-0A70767792E5,ENROUTE LOW|IAP,0,0,1,0,0,0
-80.817228889,40.017024167,17,F9A816E8-4BB7-4017-99A8-552B61527D78,1,BELLAIRE VOR/DME*OH,,,224,RAD,44,L,,,CF336095-D154-4E50-BFCA-7285246E15D5,0,CF336095-D154-4E50-BFCA-7285246E15D5,ENROUTE LOW|IAP,0,0,1,0,0,0
-102.342936111,41.2243888890001,18,666F6D92-DC3B-4384-803C-03E7162A7634,1,BENNZ INT*NE*K3,41-13-27.800N,102-20-34.570W,62,RAD,242,L,,,BA243E49-1C88-4D2B-9DD5-6E8043F5E736,1,1E599DE9-FA0B-4676-B236-EE0B9F2C625D,ENROUTE HIGH,0,0,0,1,0,0
