X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,FREQUENCY,MAGVAR,ILS_TYPE,TYPE_CODE,ILSSYS_ID,CLASS,CHANNEL,VOICE,STATUS,BCKCRS_STS,BCKCRS_USE,MAGBRG,MARKER_LOC,SLAVEVAR,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-85.846923056,33.596465278,1,AEE22767-7E35-40D0-9EB9-EB1BABBA4B5C,I-ANB,,33-35-47.275N,085-50-48.923W,111.5,-4,7,,3A6297EA-6208-413E-996D-BB089EBF7ACA,,,0,RESTRICTED,3,,52.45,,1,0,0,1,0,0,0
-85.8655397219999,33.583841944,2,F6082FEF-42FC-4E41-A715-84319D2DADE9,I-ANB,,33-35-01.831N,085-51-55.943W,332.9,-4,8,,3A6297EA-6208-413E-996D-BB089EBF7ACA,,,0,OTHER,,,,,1,0,0,1,0,0,0
-85.8733288889999,33.5768883330001,3,5A880B1E-8A12-43FD-9611-58C92E7BB233,NB,,33-34-36.798N,085-52-23.984W,,-4,0,1,3A6297EA-6208-413E-996D-BB089EBF7ACA,FM,,0,DECOMM,,,,M,1,0,0,1,0,0,0
-85.9307908329999,33.5343475,4,902B5DD2-0447-4884-836A-8D64F76C934E,AN,BOGGA,33-32-03.651N,085-55-50.847W,,-4,0,5,3A6297EA-6208-413E-996D-BB089EBF7ACA,FM,,0,IFR,,,,O,1,0,0,1,0,0,0
-85.9307908329999,33.5343475,5,2910C21C-ABFF-49DD-88C3-3B7B71E58923,AN,BOGGA,33-32-03.651N,085-55-50.847W,211,-4,1,COMLO,3A6297EA-6208-413E-996D-BB089EBF7ACA,L,,0,OTHER,,,,O,1,0,0,1,0,0,0
-86.7362666669999,33.5751094440001,6,35DCD102-3060-404E-A010-666504DD4F93,I-BHM,,33-34-30.397N,086-44-10.555W,110.3,-3,7,,1303A5AC-7A7A-4372-91CA-A23C7A026551,,,0,IFR,2,,58.47,,3,0,0,1,0,0,0
-86.769578611,33.5573000000001,7,19BCBB45-50A6-43C4-95E1-97873F069CD9,I-BHM,,33-33-26.281N,086-46-10.489W,335,-3,8,,1303A5AC-7A7A-4372-91CA-A23C7A026551,,,0,OTHER,,,,,3,0,0,1,0,0,0
-86.773953889,33.5534058330001,8,8EEC9939-F314-462C-84AB-305458900E0F,,,33-33-12.256N,086-46-26.227W,,-3,0,1,1303A5AC-7A7A-4372-91CA-A23C7A026551,FM,,0,IFR,,,,I,3,0,0,1,0,0,0
-86.778598333,33.5507313890001,9,5DA656D3-6A42-4CEA-A533-56EC5F52B3A6,HM,,33-33-02.629N,086-46-42.954W,,-3,0,1,1303A5AC-7A7A-4372-91CA-A23C7A026551,FM,,0,DECOMM,,,,M,3,0,0,1,0,0,0
-86.845640278,33.5114966670001,10,4D9F0F20-13C7-43A9-84EE-A88978E0D152,BH,MCDEN,33-30-41.396N,086-50-44.283W,,-3,0,5,1303A5AC-7A7A-4372-91CA-A23C7A026551,FM,,0,IFR,,,,O,3,0,0,1,0,0,0
