X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-176.676008333,51.871897222,1,12DC7BC6-66BC-46E6-9AE6-05262222B8B5,ADK,MOUNT MOFFETT,51-52-18.755N,176-40-33.555W,H24,,328.9,530,7,,1,,DECD1B7B-F419-4D71-97AE-25BC91363C1B,,,1,0,7,0,1,1,0,0,0,0
-176.676008333,51.871897222,2,7B975D0F-F7C7-4AA9-A83F-87874BC28541,ADK,MOUNT MOFFETT,51-52-18.755N,176-40-33.555W,H24,,328.9,114,7,,2,,DECD1B7B-F419-4D71-97AE-25BC91363C1B,,87X,1,0,7,0,1,1,0,0,0,0
-149.960141389,61.1678661110001,3,101040C3-9A85-42B3-8136-DD4A2EA62826,TED,ANCHORAGE,61-10-04.316N,149-57-36.516W,H24,,92.2,113.15,18,,3,,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,0,,1,0,18,0,1,1,0,0,0,0
-149.960141389,61.1678661110001,4,19E3B97B-DE2A-4ED2-A549-1FEBB5380627,TED,ANCHORAGE,61-10-04.316N,149-57-36.516W,H24,,92.2,113.15,18,,2,,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,0,78Y,1,0,18,0,1,1,0,0,0,0
-149.769180556,61.2550027780001,5,09675131-FE3B-4B2F-8DB7-0AACBEF6569F,EDF,ELMENDORF,61-15-18.030N,149-46-09.030W,H24,,226.2,113.4,18,,4,,EB4D65BA-F957-48CF-8800-D841C86766CA,0,81X,1,1,18,0,1,1,0,0,0,0
-159.597908333,61.5901686110001,6,B4F99488-8D1B-4F71-B154-57FD4CA5EA45,ANI,ANIAK,61-35-24.564N,159-35-52.414W,H24,,87.5,359,14,,1,,4966AA19-55AE-4790-A4CD-0994F4A56B00,,,1,0,14,0,1,1,0,0,0,0
-131.578399444,55.0604086110001,7,6CF9B097-23C4-4B39-BC05-E725EF3693BD,ANN,ANNETTE ISLAND,55-03-37.471N,131-34-42.238W,H24,,184,117.1,21,,3,,5784C072-8F9C-4AC3-8865-7988EDDEAA56,0,,1,0,21,0,1,1,0,0,0,0
-131.578399444,55.0604086110001,8,F873193A-7E52-4410-A2CB-037AC2465F6C,ANN,ANNETTE ISLAND,55-03-37.471N,131-34-42.238W,H24,,184,117.1,21,,2,,5784C072-8F9C-4AC3-8865-7988EDDEAA56,0,118X,1,0,21,0,1,1,0,0,0,0
-131.605009444,55.0708802780001,9,641227EF-8E5C-4B9C-BC1E-68D24009E57E,ICK,NICHOLS,55-04-15.169N,131-36-18.034W,H24,,119,266,18,,1,,2DA16057-3B68-4339-98D9-BBC3AEE30B0A,,,1,0,18,0,1,1,0,0,0,0
-161.824329722,60.7848369440001,10,4BD634AD-A98C-4B9D-B19A-0FDA7ECF6E6A,BET,BETHEL,60-47-05.413N,161-49-27.587W,H24,,105.4,114.1,14,,3,,5EAA342E-AFD1-453A-B2D1-B5891BDD91EB,0,,1,0,14,0,1,1,0,0,0,0
-161.824329722,60.7848369440001,11,287D0EEF-5336-4C22-93A3-5E245FC3C871,BET,BETHEL,60-47-05.413N,161-49-27.587W,H24,,105.4,114.1,14,,4,,5EAA342E-AFD1-453A-B2D1-B5891BDD91EB,0,88X,1,0,14,0,1,1,0,0,0,0
-161.872759722,60.791308611,12,408C1845-7B95-4924-913F-415895AB3F02,OSE,OSCARVILLE,60-47-28.711N,161-52-21.935W,H24,,155.2,251,11,,1,,7BA2A392-5CD2-4120-A3DB-6FA8CE7F63E8,,,1,0,11,0,1,0,0,0,0,0
-151.535882778,66.9050083330001,13,DB31B8E7-2456-4C63-A8F7-BA62448CADEA,BTT,BETTLES,66-54-18.030N,151-32-09.178W,H24,,637,116,20,,3,,B5721B92-F042-43B4-8CAF-4233E6F62D17,0,,1,0,20,0,1,1,0,0,0,0
-151.535882778,66.9050083330001,14,58D5B8E5-AC28-4568-8EF5-5F28252CAB8E,BTT,BETTLES,66-54-18.030N,151-32-09.178W,H24,,637,116,20,,2,,B5721B92-F042-43B4-8CAF-4233E6F62D17,0,107X,1,0,20,0,1,1,0,0,0,0
-151.563722222,66.893188889,15,6B3D36B3-C801-4FB7-A098-4BCD1E136A4E,EAV,EVANSVILLE,66-53-35.480N,151-33-49.400W,H24,,,391,20,,1,,2F88ADCF-C8A6-4EEE-A597-0551E5FB7BB5,,,1,0,20,0,1,0,0,0,0,0
-149.967144444,61.5694541670001,16,32F62450-9562-43FE-A9CD-006D9FC2DCBC,BGQ,BIG LAKE,61-34-09.957N,149-58-01.773W,H24,,179.3,112.5,19,,3,,2790E5AB-6039-4BD1-B316-F12082328C8A,0,,1,0,19,0,1,1,0,0,0,0
-149.967144444,61.5694541670001,17,0D05E788-B2CC-4980-B54A-4895AA89EAF4,BGQ,BIG LAKE,61-34-09.957N,149-58-01.773W,H24,,179.3,112.5,19,,4,,2790E5AB-6039-4BD1-B316-F12082328C8A,0,72X,1,0,19,0,1,1,0,0,0,0
-166.076422222,68.8711500000001,18,EF9DDD27-3383-4308-BA75-08350047EBA4,LUR,CAPE LISBURNE,68-52-16.516N,166-04-33.615W,H24,,60.9,385,12,,1,,FD384BB3-C69B-4047-933B-1B094D3194D0,,,1,0,12,0,1,0,0,0,0,0
-166.076422222,68.8711500000001,19,282446E2-E69D-4B19-A67C-3A2BBF86C262,LUR,CAPE LISBURNE,68-52-16.516N,166-04-33.615W,H24,,60.9,108.35,12,,2,,FD384BB3-C69B-4047-933B-1B094D3194D0,,20Y,1,0,12,0,1,0,0,0,0,0
-162.071434167,58.6567838890001,20,709C2C18-4FA0-486F-858E-7826EBFACAEA,EHM,CAPE NEWENHAM,58-39-21.680N,162-04-25.480W,H24,,212.2,385,12,,1,,13305281-CB1C-442B-8C58-1C1A10479EF1,,,1,0,12,0,1,1,0,0,0,0
-162.071434167,58.6567838890001,21,301DE206-1C63-438B-9754-94907B5A5F2C,EHM,CAPE NEWENHAM,58-39-21.680N,162-04-25.480W,H24,,212.2,108.15,12,,2,,13305281-CB1C-442B-8C58-1C1A10479EF1,,18Y,1,0,12,0,1,1,0,0,0,0
-148.469395,67.502387222,22,35C9AC00-4E50-401E-8A6D-936B646A98FF,CQR,CHANDALAR LAKE,67-30-08.594N,148-28-09.822W,H24,,1875,263,22,,1,,E97931C1-2C2D-4DC6-B698-BBBA47EEDEA4,,,1,0,22,0,1,1,0,0,0,0
-134.699451111,58.359325556,23,B0518FB4-0BF5-47FD-B187-3323F7320743,CGL,COGHLAN ISLAND,58-21-33.572N,134-41-58.024W,H24,,57.9,212,20,,1,,4B63987E-B19A-471D-90B2-BC51EC2C3CD3,,,1,0,20,0,1,1,0,0,0,0
-162.774238889,55.267376944,24,3B9D84F0-476B-4067-8CC1-3C918DC9376B,CDB,COLD BAY,55-16-02.261N,162-46-26.387W,H24,,98.5,112.6,10,,3,,2783C03F-45E3-4521-B68C-6ECF3CD0A7FB,0,,1,0,10,0,1,1,0,0,0,0
-162.774238889,55.267376944,25,490DC77A-D416-4FF1-B663-4F0F258DB617,CDB,COLD BAY,55-16-02.261N,162-46-26.387W,H24,,98.5,112.6,10,,4,,2783C03F-45E3-4521-B68C-6ECF3CD0A7FB,0,73X,1,0,10,0,1,1,0,0,0,0
-162.789073611,55.2960713890001,26,C9C6930A-DF55-463B-8E52-D1C5EC3B5AAC,ELF,ELFEE,55-17-46.138N,162-47-21.266W,H24,,32.3,341,10,,1,,A481EB14-ADAC-4578-926D-B4E58AD458F2,,,1,0,10,0,1,1,0,0,0,0
