OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
1,F8ACD268-B14C-4182-9EC3-D9B0003B3BBF,,4,,81B6E1B9-3205-4649-8B7B-F2EE8291AF41,NAVAID,CBEFBC07-AB6D-4B2A-B0AD-19BCAC0AA121,2,0,0,1,0,0,0,1.41421355880255e-06
2,BFB92B76-F67B-4FD8-BB8F-F12995A67706,196.23,4,6.61,BD59AAA1-6923-44DB-A65D-684D38A1E178,ILS,5F8D113F-13A7-4C1A-A1F6-4FDFD700EE78,2,0,0,1,0,0,0,0.0957659506247418
3,4A187113-D6DE-4392-8194-F821D7CA080F,0,4,,9C5902DA-B851-47E0-934E-1EF3A8DB0A9D,NAVAID,1F68B7B8-DD81-4BB8-9928-9DF346D86342,2,0,0,1,0,0,0,0.00016736188337597
4,58D6E41F-D819-42D7-8AE9-077D93B622E6,262.88,4,,95D2AF68-5C98-470A-8AB7-FD5472B73689,NAVAID,4CA81CE4-7312-4162-AADE-B44141AE8B6A,2,0,0,1,0,0,0,0.0213979247825963
5,0092A4DF-5241-4B22-B1A4-BF4526371EC1,153.9,4,2.06,6B048CC8-BD18-45A0-8118-90D4F0D0C9DD,ILS,D233801F-A630-4657-B436-9EAB2E371CA4,2,0,0,1,0,0,0,0.0355895001370135
6,06B22075-2BB7-4A46-A898-406B47B0F213,55.99,4,2,09DDCC05-DE7B-4773-9DAF-3396E9D8DA89,NAVAID,3AB0396E-0FA0-4142-9D29-1CB7035A82EE,2,0,0,1,0,0,0,0.0373744920634355
7,23142EF2-55AB-41DD-B4CD-FDBC1608378F,101.02,4,,3979DE79-623E-4433-84CD-2ECA8AD309D6,NAVAID,204345BB-1B79-4029-9215-1B1C80D23FEC,2,0,0,0,0,0,1,0.0416839610042084
8,03FD9138-0BFE-434B-8519-99044B79D9AA,315.63,4,,4966AA19-55AE-4790-A4CD-0994F4A56B00,NAVAID,CC1C9A96-E992-47E0-AFDD-3E82F048CB29,2,1,0,0,0,0,0,0.042998995441753
9,E9DB817E-AE3C-4D90-B9AD-B2F0ED475545,131.32,4,2.32,159C7B88-BFEC-4235-85A0-C907645B4E25,NAVAID,5F494F8B-DF1E-4339-B337-82B3FCBBDB0E,2,0,0,1,0,0,0,0.0431908969691271
10,DA8A56A7-309D-4AF4-BA15-DBEEAB394C6B,237.23,4,,5F9D2AC9-B747-4B4E-A153-5C88D3DE2915,NAVAID,E1DAE96D-7FAA-4248-B189-8B402116C072,2,0,0,1,0,0,0,0.0453644689377093
11,277F0B20-62BA-438B-BA06-017ADB42041E,119.59,4,2.26,DAD04B84-727E-47A1-B92F-D31DE8F09133,NAVAID,7CDFE705-5079-4A4D-8B28-8A9A5A373A44,2,0,0,1,0,0,0,0.0454124756867721
12,DFB20A4D-F130-4595-83A3-6F287EBDF8B3,179.01,4,2.79,6CE18F16-E74A-44AA-9ECC-DECDC9528BCB,NAVAID,DC304210-61E8-4A98-BEA9-53EC78019287,2,0,0,1,1,0,0,0.0464396628971805
13,24AF5AAB-6C66-4A34-95A0-E97DE6CF0AA5,274.28,4,2.42,B93B8AF2-869A-4D74-919A-8AB985809FE0,NAVAID,226A8DAE-377D-48D2-BAA2-AF1748E77E64,2,0,0,1,0,0,0,0.0468710078833723
14,D1C830AF-5098-440F-B7F8-90A289109EA8,109.89,4,2.68,D09308BD-7D2F-4C6D-BA18-FF52BFE89735,NAVAID,E0A1B5AD-B34D-4BE7-B6B1-A6485F7EDF88,2,0,0,0,0,0,1,0.0470476939711083
15,7AB9800B-BFA0-42A7-9C8D-CE38A50B8C15,34.34,4,2.57,C92E61CC-599D-4D6F-A525-B16855130B06,NAVAID,727AA112-B80F-4012-8D48-CFB05C0D3F5E,2,0,0,0,1,1,0,0.048182090158096
16,BA92EDF5-5288-47A7-A3C1-0BCD6731AAD5,148.88,4,2.98,5309FE93-A69F-4275-BF9E-0A70767792E5,NAVAID,C2EC1BB5-31C8-4171-84DB-16AC3FDDF1FF,2,0,0,1,0,0,0,0.0519760473487354
17,0A85CA79-1BC4-4C90-81E3-C51AF5FD3E09,318.89,4,3.14,7B5CDED2-D4BD-4059-9F64-1ACD5761B688,NAVAID,64E69EB5-680C-4F4E-A856-C925156CC896,2,0,0,1,0,0,0,0.0545562561490145
18,80658CBE-B16F-4FC9-A82E-140C3E3FCD04,296.23,4,2.84,512FF150-BED5-429F-99E0-EACE2D1B45F0,NAVAID,DC3F2593-2195-4B49-9A16-27908246E6B0,2,0,0,1,0,0,0,0.0591431912902793
19,05718F54-3247-4730-8E3C-06C9C5C482D1,166,4,,1F0063BF-3AF9-4C1A-BAAF-8742A24FB5D0,NAVAID,CE6C14C0-2FD1-4731-906B-5976D9DC36D3,2,0,0,1,0,0,0,0.0614188897490426
20,90669D7E-A4ED-4406-83A4-5FF9C728CA5E,155.81,4,,42CDE01A-EEC4-4716-9080-43442AF4495A,NAVAID,2163DD62-D95C-4FB9-98C7-E7D0025D21FE,2,1,0,0,0,0,0,0.0624458647549834
21,20634F42-4ED2-4D92-966C-11E354DE186F,345.17,4,3.69,01A36ED4-429C-489F-9AA0-03EEFF3F1027,NAVAID,7BE42BE5-95CC-47CA-AB94-EA105521F16D,2,0,0,1,1,0,0,0.0626866525904791
22,38CF812E-4A86-45D9-BA55-FCAE50ABB723,327,4,,159C7B88-BFEC-4235-85A0-C907645B4E25,NAVAID,3FC36003-8652-4727-B5C6-7B854B0002CE,2,0,0,1,0,0,0,0.0643070268711046
23,41A9D8DC-5543-4F0E-9ABF-540BC8E9272E,8.34,4,3.41,04BDA055-A2EF-4A1B-BEAA-7BCB3295E476,NAVAID,D29483E2-969B-4EB1-A718-C77D4DBC4386,2,1,0,1,0,0,0,0.0645675527567852
24,D34A9111-35A8-4A57-B0FA-2701D8C5EBDD,43,4,3,C677D8A2-B032-4E6A-8E7C-14E82451A592,NAVAID,5E401992-6810-4F19-8C9B-61F94A1DBA22,2,0,0,0,1,0,0,0.064803089285952
25,79C3A3F0-E730-49E9-9D44-06414C649A55,185.14,4,3.91,1EF99441-78BC-4D15-AF8D-697E6773808D,NAVAID,4DBC8ABB-B34C-45A2-992D-496A166AAECD,2,0,0,1,0,0,0,0.0654507453357302
26,C43390DA-A73F-4FFE-AE92-851E0E89BCE8,45.92,4,3.51,BD73E2C4-EE65-4321-9B8A-BEA77BF6DA13,NAVAID,4AA23225-C5A0-4284-93CD-363DAA810848,2,0,0,1,0,0,0,0.0654910046036718
27,7B5E979D-914C-4F8F-B4FF-834B461BFD77,347.11,4,4,12575279-7D0B-481D-8321-FBDD115EEAAC,NAVAID,3194688B-0C31-4C76-B370-95D15F430982,2,0,0,1,0,1,0,0.0668026548125051
28,6CF0DBC1-F253-4CB5-9D8B-8DDA059EB8B5,186.99,4,3.96,851A2A3F-119E-428C-BC06-310DED1F1FE1,NAVAID,BA950C2B-B6CE-440E-86A3-AD51D2EFE11F,2,0,0,1,0,1,0,0.0681707075069888
29,D41C4FF3-C47A-4D5A-B8A3-23E277C9CF5B,136.07,4,,E51091DC-9432-4322-8162-758D04096922,NAVAID,FDEA239E-2174-435B-A1C6-95C0CEBA1103,2,0,0,1,0,0,0,0.0682921013368094
30,1A40ACD4-C47F-40F2-BB2C-3779B7DD27B9,328.65,4,,9E45E202-6D61-49A7-8A3B-AE82B1CA4E13,NAVAID,E2424DA4-65FC-43E4-8E51-B6EEB78B0F04,2,0,0,1,0,0,0,0.0691605893121025
31,AF3CF624-6DF4-4D86-B53C-9B27FFEBC512,175.32,4,4.17,6E6CAC3A-2BC9-4497-A11E-1EC4EB299170,NAVAID,B5BD4612-9B33-4D2C-9BF1-7C8071D6181C,2,0,0,1,0,0,0,0.069666746766334
32,8C2A2BDD-9B34-4966-81E4-73CFD6DBF5F0,136.11,4,4,5AE9C114-A3F3-436C-9E95-FBADA32D1AE4,NAVAID,377F7D48-1423-41AA-B7B8-234C9E8DC21F,2,0,0,1,0,0,0,0.0708512763611389
33,035E348F-7621-43C9-9EFD-6B0FEE8D3899,164,4,4.26,851A2A3F-119E-428C-BC06-310DED1F1FE1,NAVAID,173ED6E7-E821-41D9-A399-00CD90D5BA38,2,0,0,1,0,1,0,0.0710536034625004
34,6023F7E7-A913-48E1-AD45-A83ED8E21FAB,33.2,4,3.92,851A2A3F-119E-428C-BC06-310DED1F1FE1,NAVAID,401A6D92-05C3-4853-B2BC-63C8C54977B9,2,0,0,1,0,1,0,0.0730972624452939
35,497B5C69-8CA9-400B-8F1A-421883AC96E1,279.73,4,,0C2AC6B9-32B7-4299-ACB5-813F2F048DC2,NAVAID,740D054D-8DF6-4905-9694-B7B1714A43B4,2,0,0,1,0,0,0,0.074862583297665
36,EED46E08-3417-4EF4-B94A-F9AC3F39A0C8,106.72,4,,E9FDF88E-2FA2-40B3-8084-919B9364295E,NAVAID,9CD7349A-2C45-434F-98EF-C8BF770D8B8E,2,0,0,1,0,0,0,0.0754068003962339
37,E71FA898-1C93-44E1-BE1A-AF180A6B4BD3,198,4,4.46,D09308BD-7D2F-4C6D-BA18-FF52BFE89735,NAVAID,125C885D-7B6E-4D4D-86D2-B9FA5AC7BC5C,2,0,0,0,0,0,1,0.0757809855966333
38,01C30983-B15C-4189-BBDC-75BCC9CFDEA4,145.47,4,4.46,822A6C8E-A98A-4A8F-9FCF-82958E951AD6,NAVAID,A35D94B8-D378-4FBC-B605-F32692558000,2,0,0,1,0,0,0,0.0761822475449636
39,07E9F995-91DA-4D90-BA8E-C9DE1BD73C52,145.31,4,4.61,6E6CAC3A-2BC9-4497-A11E-1EC4EB299170,NAVAID,2C495465-2F42-45CA-9D8E-D31401C28AC9,2,0,0,1,0,0,0,0.0795567445601307
